Symbol NQ #F Data

StartDate	StartTime	        Open	        High	         Low	       Close	Volume	Bid	Ask
20191219	112000	 8641.250000	 8646.250000	 8641.000000	 8645.500000	1968		
20191219	112100	 8645.250000	 8646.000000	 8644.000000	 8645.000000	607		
20191219	112200	 8645.000000	 8648.000000	 8644.500000	 8647.250000	970		
20191219	112300	 8647.500000	 8649.250000	 8646.500000	 8648.500000	990		
20191219	112400	 8648.500000	 8649.500000	 8647.750000	 8648.000000	753		
20191219	112500	 8648.250000	 8649.000000	 8647.750000	 8648.500000	549		
20191219	112600	 8648.750000	 8648.750000	 8646.750000	 8647.750000	698		
20191219	112700	 8648.000000	 8648.750000	 8647.750000	 8648.500000	250		
20191219	112800	 8648.250000	 8652.250000	 8648.000000	 8651.000000	1325		
20191219	112900	 8651.000000	 8651.250000	 8650.000000	 8650.500000	411		
20191219	113000	 8650.250000	 8651.000000	 8649.500000	 8650.250000	531		
20191219	113100	 8650.000000	 8651.000000	 8650.000000	 8650.250000	307		
20191219	113200	 8650.250000	 8653.500000	 8650.250000	 8653.250000	811		
20191219	113300	 8653.250000	 8656.500000	 8653.000000	 8655.250000	1259		
20191219	113400	 8655.500000	 8655.750000	 8653.500000	 8654.750000	851		
20191219	113500	 8654.750000	 8655.750000	 8653.500000	 8654.000000	572		
20191219	113600	 8654.250000	 8654.500000	 8651.500000	 8653.000000	1149		
20191219	113700	 8653.250000	 8654.000000	 8652.750000	 8653.000000	289		
20191219	113800	 8653.000000	 8653.000000	 8652.000000	 8652.250000	269		
20191219	113900	 8652.250000	 8652.500000	 8651.250000	 8651.500000	347		
20191219	114000	 8651.500000	 8651.500000	 8650.500000	 8650.750000	282		
20191219	114100	 8650.750000	 8650.750000	 8649.250000	 8650.000000	559		
20191219	114200	 8649.750000	 8650.000000	 8648.500000	 8648.750000	501		
20191219	114300	 8649.000000	 8649.500000	 8648.500000	 8648.500000	354		
20191219	114400	 8648.750000	 8649.500000	 8648.500000	 8648.750000	220		
20191219	114500	 8649.000000	 8650.000000	 8649.000000	 8649.750000	346		
20191219	114600	 8649.750000	 8650.250000	 8649.000000	 8650.000000	240		
20191219	114700	 8650.250000	 8651.250000	 8650.250000	 8651.250000	288		
20191219	114800	 8651.250000	 8651.250000	 8650.750000	 8651.000000	246		
20191219	114900	 8651.000000	 8651.500000	 8650.750000	 8651.000000	209		
20191219	115000	 8651.250000	 8653.250000	 8651.000000	 8651.500000	500		
20191219	115100	 8651.500000	 8652.000000	 8651.000000	 8651.250000	257		
20191219	115200	 8651.500000	 8653.000000	 8651.500000	 8652.750000	332		
20191219	115300	 8652.750000	 8653.750000	 8652.500000	 8653.250000	294		
20191219	115400	 8653.250000	 8653.750000	 8652.500000	 8653.250000	220		
20191219	115500	 8653.500000	 8653.750000	 8653.000000	 8653.750000	213		
20191219	115600	 8653.750000	 8654.250000	 8653.500000	 8654.000000	330		
20191219	115700	 8654.250000	 8654.250000	 8653.000000	 8653.250000	457		
20191219	115800	 8653.250000	 8653.500000	 8651.750000	 8652.750000	353		
20191219	115900	 8652.750000	 8653.750000	 8652.500000	 8652.750000	269		
20191219	120000	 8652.750000	 8653.250000	 8652.250000	 8652.500000	300		
20191219	120100	 8652.250000	 8654.250000	 8652.000000	 8654.000000	365		
20191219	120200	 8653.750000	 8655.250000	 8653.750000	 8655.000000	887		
20191219	120300	 8655.250000	 8656.500000	 8655.000000	 8655.750000	552		
20191219	120400	 8655.750000	 8656.500000	 8654.500000	 8655.250000	393		
20191219	120500	 8655.250000	 8655.250000	 8654.500000	 8654.750000	225		
20191219	120600	 8654.750000	 8654.750000	 8653.500000	 8654.250000	417		
20191219	120700	 8654.250000	 8656.250000	 8653.750000	 8655.250000	679		
